Date and Time:                Fri Oct 17 06:35:32.260 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	249
478.84332	301
479.35983	330
479.87631	310
480.39282	343
480.9093	320
481.42575	334
481.94223	305
482.45868	312
482.97513	320
483.49158	322
484.00803	300
484.52444	318
485.04086	318
485.55728	327
486.07367	322
486.59006	329
487.10645	328
487.62283	309
488.13919	335
488.65555	308
489.17191	318
489.68826	315
490.20459	305
490.72092	338
491.23724	326
491.75354	312
492.26984	323
492.78613	311
493.30243	339
493.8187	301
494.33496	312
494.85123	316
495.36746	305
495.8837	312
496.39993	336
496.91617	350
497.43237	306
497.94858	313
498.46478	328
498.98096	324
499.49713	318
500.01331	346
500.52945	322
501.04562	322
501.56174	325
502.07788	315
502.59399	334
503.11011	336
503.62622	314
504.1423	331
504.65839	320
505.17447	310
505.69052	336
506.20657	338
506.72263	330
507.23865	323
507.75467	293
508.27069	313
508.78668	302
509.30267	303
509.81866	333
510.33463	296
510.85059	328
511.36655	334
511.88248	331
512.39844	343
512.91437	330
513.43024	306
513.94617	305
514.46204	309
514.97791	299
515.49377	327
516.00964	322
516.52551	330
517.04132	318
517.55719	330
518.073	300
518.58881	295
519.10461	319
519.62036	321
520.13617	316
520.65192	313
521.16766	332
521.68341	332
522.1991	297
522.71484	308
523.23053	315
523.74622	312
524.2619	343
524.77759	293
525.29327	331
525.8089	306
526.32452	320
526.84015	317
527.35577	348
527.8714	306
528.38696	321
528.90259	291
529.41815	331
529.93372	316
530.44922	320
530.96478	319
531.48029	324
531.99579	316
532.51129	314
533.02679	303
533.5423	318
534.05774	332
534.57318	335
535.08862	321
535.60406	338
536.11945	307
536.63489	311
537.15027	328
537.66565	334
538.18097	296
538.69635	301
539.21167	323
539.72699	331
540.24231	319
540.75763	320
541.27289	341
541.78821	317
542.30347	298
542.81873	330
543.33392	318
543.84918	312
544.36438	335
544.87958	332
545.39478	318
545.90991	296
546.42511	317
546.94025	332
547.45538	330
547.97052	304
548.4856	301
549.00073	336
549.51581	316
550.03088	304
550.5459	297
551.06097	321
551.57599	304
552.091	317
552.60602	336
553.12097	304
553.63593	317
554.15094	328
554.66583	323
555.18079	307
555.69568	308
556.21063	321
556.72552	337
557.24036	328
557.75525	296
558.27008	314
558.78491	322
559.29974	310
559.81458	296
560.32935	313
560.84412	315
561.35889	308
561.87366	330
562.38837	326
562.90308	327
563.41779	313
563.9325	321
564.44714	324
564.96179	303
565.47644	303
565.99109	297
566.50574	343
567.02032	307
567.53491	331
568.0495	295
568.56403	324
569.07861	339
569.59314	289
570.1076	316
570.62213	322
571.1366	321
571.65106	316
572.16553	333
572.67999	319
573.1944	301
573.7088	313
574.22321	316
574.73755	310
575.25195	332
575.7663	322
576.28058	323
576.79492	314
577.3092	345
577.82349	335
578.33777	309
578.85205	309
579.36627	319
579.88049	324
580.39471	308
580.90887	330
581.42303	306
581.93719	310
582.45135	325
582.96545	337
583.47955	309
583.99365	328
584.50775	320
585.02179	324
585.53583	335
586.04987	322
586.5639	321
587.07788	326
587.59186	311
588.10583	317
588.61975	318
589.13373	303
589.64758	322
590.1615	313
590.67542	319
591.18927	297
591.70306	340
592.21692	332
592.73071	338
593.24451	322
593.7583	325
594.27209	317
594.78583	287
595.29956	322
595.81323	317
596.32697	317
596.84064	314
597.35425	340
597.86792	304
598.38153	310
598.89514	308
599.40875	314
599.9223	323
600.43585	303
600.9494	318
601.46289	319
601.97638	331
602.48987	318
603.00336	321
603.51678	306
604.03021	316
604.54364	315
605.05701	314
605.57043	316
606.08374	318
606.59711	323
607.11041	302
607.62372	315
608.13702	321
