Date and Time:                Sat Oct 18 13:15:18.508 2025
Software Version:             4.30.30000.0
Unstabilized Temperature (C): -89.631
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	252
478.84332	314
479.35983	327
479.87631	322
480.39282	301
480.9093	317
481.42575	333
481.94223	323
482.45868	306
482.97513	323
483.49158	311
484.00803	315
484.52444	312
485.04086	321
485.55728	327
486.07367	316
486.59006	304
487.10645	306
487.62283	325
488.13919	326
488.65555	311
489.17191	310
489.68826	305
490.20459	321
490.72092	304
491.23724	318
491.75354	358
492.26984	302
492.78613	303
493.30243	323
493.8187	309
494.33496	315
494.85123	318
495.36746	306
495.8837	330
496.39993	324
496.91617	312
497.43237	320
497.94858	329
498.46478	296
498.98096	301
499.49713	305
500.01331	305
500.52945	334
501.04562	303
501.56174	325
502.07788	326
502.59399	308
503.11011	332
503.62622	303
504.1423	302
504.65839	298
505.17447	320
505.69052	327
506.20657	330
506.72263	316
507.23865	304
507.75467	304
508.27069	340
508.78668	324
509.30267	326
509.81866	322
510.33463	325
510.85059	320
511.36655	324
511.88248	301
512.39844	323
512.91437	307
513.43024	322
513.94617	305
514.46204	311
514.97791	312
515.49377	313
516.00964	318
516.52551	291
517.04132	306
517.55719	322
518.073	322
518.58881	315
519.10461	311
519.62036	321
520.13617	309
520.65192	327
521.16766	321
521.68341	304
522.1991	287
522.71484	305
523.23053	318
523.74622	315
524.2619	308
524.77759	321
525.29327	326
525.8089	303
526.32452	325
526.84015	321
527.35577	299
527.8714	305
528.38696	340
528.90259	311
529.41815	298
529.93372	326
530.44922	320
530.96478	308
531.48029	298
531.99579	328
532.51129	315
533.02679	320
533.5423	305
534.05774	342
534.57318	318
535.08862	307
535.60406	308
536.11945	313
536.63489	300
537.15027	318
537.66565	335
538.18097	299
538.69635	315
539.21167	328
539.72699	307
540.24231	316
540.75763	325
541.27289	307
541.78821	311
542.30347	308
542.81873	327
543.33392	302
543.84918	309
544.36438	303
544.87958	316
545.39478	301
545.90991	300
546.42511	298
546.94025	295
547.45538	303
547.97052	322
548.4856	319
549.00073	314
549.51581	296
550.03088	335
550.5459	318
551.06097	313
551.57599	329
552.091	336
552.60602	339
553.12097	313
553.63593	300
554.15094	317
554.66583	295
555.18079	326
555.69568	325
556.21063	321
556.72552	339
557.24036	321
557.75525	320
558.27008	304
558.78491	313
559.29974	314
559.81458	316
560.32935	313
560.84412	294
561.35889	310
561.87366	315
562.38837	294
562.90308	316
563.41779	317
563.9325	294
564.44714	312
564.96179	304
565.47644	327
565.99109	320
566.50574	307
567.02032	311
567.53491	294
568.0495	309
568.56403	325
569.07861	317
569.59314	343
570.1076	306
570.62213	300
571.1366	312
571.65106	327
572.16553	311
572.67999	324
573.1944	308
573.7088	311
574.22321	330
574.73755	302
575.25195	306
575.7663	303
576.28058	313
576.79492	302
577.3092	306
577.82349	308
578.33777	319
578.85205	320
579.36627	323
579.88049	326
580.39471	306
580.90887	317
581.42303	315
581.93719	298
582.45135	305
582.96545	303
583.47955	309
583.99365	312
584.50775	321
585.02179	333
585.53583	334
586.04987	315
586.5639	319
587.07788	326
587.59186	306
588.10583	331
588.61975	321
589.13373	293
589.64758	305
590.1615	330
590.67542	308
591.18927	303
591.70306	309
592.21692	306
592.73071	302
593.24451	320
593.7583	299
594.27209	316
594.78583	297
595.29956	306
595.81323	325
596.32697	322
596.84064	319
597.35425	316
597.86792	307
598.38153	320
598.89514	294
599.40875	330
599.9223	309
600.43585	314
600.9494	302
601.46289	322
601.97638	309
602.48987	307
603.00336	312
603.51678	313
