Date and Time:                Sat Oct 18 08:27:03.390 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	253
478.84332	309
479.35983	337
479.87631	329
480.39282	336
480.9093	324
481.42575	329
481.94223	327
482.45868	316
482.97513	303
483.49158	343
484.00803	350
484.52444	385
485.04086	411
485.55728	497
486.07367	525
486.59006	594
487.10645	625
487.62283	644
488.13919	718
488.65555	720
489.17191	739
489.68826	802
490.20459	853
490.72092	896
491.23724	955
491.75354	1067
492.26984	1057
492.78613	1089
493.30243	1149
493.8187	1252
494.33496	1315
494.85123	1314
495.36746	1365
495.8837	1500
496.39993	1531
496.91617	1635
497.43237	1702
497.94858	1757
498.46478	1792
498.98096	1975
499.49713	2017
500.01331	2083
500.52945	2201
501.04562	2345
501.56174	2628
502.07788	2721
502.59399	2926
503.11011	3367
503.62622	3595
504.1423	3960
504.65839	4355
505.17447	4994
505.69052	5418
506.20657	5980
506.72263	6680
507.23865	7495
507.75467	8260
508.27069	8948
508.78668	10002
509.30267	11224
509.81866	12270
510.33463	13084
510.85059	14293
511.36655	15388
511.88248	16224
512.39844	17261
512.91437	17852
513.43024	18120
513.94617	18691
514.46204	19569
514.97791	19407
515.49377	20164
516.00964	19826
516.52551	19824
517.04132	20079
517.55719	19675
518.073	19469
518.58881	18546
519.10461	18681
519.62036	18386
520.13617	17970
520.65192	17316
521.16766	16599
521.68341	15852
522.1991	14939
522.71484	14274
523.23053	13287
523.74622	12272
524.2619	11394
524.77759	10239
525.29327	9265
525.8089	8356
526.32452	7380
526.84015	6592
527.35577	5791
527.8714	5153
528.38696	4548
528.90259	4022
529.41815	3582
529.93372	3118
530.44922	3002
530.96478	2675
531.48029	2517
531.99579	2400
532.51129	2275
533.02679	2258
533.5423	2298
534.05774	2249
534.57318	2184
535.08862	2292
535.60406	2174
536.11945	2160
536.63489	2141
537.15027	2054
537.66565	1983
538.18097	2015
538.69635	1871
539.21167	1904
539.72699	1856
540.24231	1836
540.75763	1804
541.27289	1714
541.78821	1625
542.30347	1629
542.81873	1638
543.33392	1607
543.84918	1639
544.36438	1531
544.87958	1541
545.39478	1449
545.90991	1491
546.42511	1475
546.94025	1427
547.45538	1348
547.97052	1443
548.4856	1383
549.00073	1300
549.51581	1409
550.03088	1317
550.5459	1350
551.06097	1342
551.57599	1324
552.091	1293
552.60602	1268
553.12097	1246
553.63593	1209
554.15094	1184
554.66583	1242
555.18079	1251
555.69568	1248
556.21063	1191
556.72552	1214
557.24036	1224
557.75525	1151
558.27008	1160
558.78491	1220
559.29974	1122
559.81458	1157
560.32935	1168
560.84412	1165
561.35889	1111
561.87366	1121
562.38837	1105
562.90308	1097
563.41779	1096
563.9325	1086
564.44714	1037
564.96179	1108
565.47644	1076
565.99109	1120
566.50574	1081
567.02032	992
567.53491	1006
568.0495	1115
568.56403	1032
569.07861	1016
569.59314	1028
570.1076	970
570.62213	1053
571.1366	1061
571.65106	994
572.16553	988
572.67999	951
573.1944	905
573.7088	927
574.22321	958
574.73755	941
575.25195	948
575.7663	968
576.28058	943
576.79492	918
577.3092	921
577.82349	907
578.33777	883
578.85205	888
579.36627	847
579.88049	870
580.39471	861
580.90887	857
581.42303	861
581.93719	853
582.45135	884
582.96545	844
583.47955	861
583.99365	885
584.50775	792
585.02179	824
585.53583	775
586.04987	832
586.5639	819
587.07788	727
587.59186	805
588.10583	820
588.61975	790
589.13373	845
589.64758	736
590.1615	783
590.67542	747
591.18927	799
591.70306	766
592.21692	734
592.73071	753
593.24451	737
593.7583	690
594.27209	769
594.78583	718
595.29956	718
595.81323	751
596.32697	737
596.84064	708
